Name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party

"Abbott, Anthony John",Warringah,NSW,26.3.1994,by_election, ,current_member,LIB
"Abel, John Arthur",Evans,NSW,13.12.1975,,10.11.1977,retired,LIB
"Adams, Dick Godfrey Harry",Lyons,Tas.,13.3.1993,, ,current_member,ALP
"Adermann, Albert Evan",Fisher,Qld,2.12.1972,,1.12.1984,elected_elsewhere,NPA
,Fairfax,Qld,1.12.1984,,19.2.1990,retired,NPA
"Albanese, Anthony Norman",Grayndler,NSW,2.3.1996,, ,current_member,ALP
"Aldred, Kenneth James",Henty,Vic.,13.12.1975,,18.10.1980,defeated,LIB
,Bruce,Vic.,28.5.1983,by_election,24.3.1990,elected_elsewhere,LIB
,Deakin,Vic.,24.3.1990,,29.1.1996,retired,LIB
"Anderson, John Duncan",Gwydir,NSW,15.4.1989,by_election,17.10.2007,retired,NP
"Andren, Peter James",Calare,NSW,2.3.1996,,17.10.2007,retired,IND
"Andrew, John Neil",Wakefield,SA,5.3.1983,,31.8.2004,retired,LIB
"Andrews, Kevin James",Menzies,Vic.,11.5.1991,by_election, ,current_member,LIB
"Anthony, John Douglas",Richmond,NSW,14.9.1957,by_election,18.1.1984,resigned,NPA
"Anthony, Lawrence James",Richmond,NSW,2.3.1996,, ,current_member,NP
"Armitage, John Lindsay",Mitchell,NSW,9.12.1961,,30.11.1963,defeated,ALP
,Chifley,NSW,25.10.1969,,4.2.1983,retired,ALP
"Atkinson, Rodney Alexander",Isaacs,Vic.,24.3.1990,,2.3.1996,defeated,LIB
"Bailey, Frances Esther",McEwen,Vic.,24.3.1990,,13.3.1993,defeated,LIB
,McEwen,Vic.,2.3.1996,, ,current_member,LIB
"Baillieu, Marshall",La Trobe,Vic.,13.12.1975,,18.10.1980,defeated,LIB
"Baird, Bruce George",Cook,NSW,3.10.1998,,17.10.2007,retired,LIB
"Baker, Mark Horden",Braddon,Tas.,9.10.2004,, ,current_member,LIB
"Baldwin, Peter Jeremy",Sydney,NSW,5.3.1983,,31.8.1998,retired,ALP
"Baldwin, Robert Charles",Paterson,NSW,2.3.1996,,3.10.1998,defeated,LIB
,Paterson,NSW,10.11.2001,, ,current_member,LIB
"Barresi, Phillip Anthony",Deakin,Vic.,2.3.1996,, ,current_member,LIB
"Bartlett, Kerry Joseph",Macquarie,NSW,2.3.1996,, ,current_member,LIB
"Baume, Michael Ehrenfried",Macarthur,NSW,13.12.1975,,5.3.1983,defeated,LIB
"Beale, Julian Howard",Deakin,Vic.,1.12.1984,,Until elected for Bruce,elected_elsewhere,LIB
,Bruce,Vic.,24.3.1990,,2.3.1996,defeated,LIB
