"The Hon Julia Gillard, MP",03/03/2011,09/12/2011,Prime Minister
"The Hon Wayne Swan, MP",03/03/2011,09/12/2011,Treasurer
"The Hon Wayne Swan, MP",03/03/2011,09/12/2011,Deputy Prime Minister
"The Hon Kevin Rudd, MP",03/03/2011,09/12/2011,Minister for Foreign Affairs
Senator the Hon Chris Evans,03/03/2011,09/12/2011,"Minister for Tertiary Education, Skills, Jobs and Workplace Relations"
Senator the Hon Chris Evans,03/03/2011,09/12/2011,Leader of the Government in the Senate
"The Hon Simon Crean, MP",03/03/2011,09/12/2011,"Minister for Regional Australia, Regional Development and Local Government"
"The Hon Simon Crean, MP",03/03/2011,09/12/2011,Minister for the Arts
"The Hon Stephen Smith, MP",03/03/2011,09/12/2011,Minister for Defence
"The Hon Stephen Smith, MP",03/03/2011,09/12/2011,Deputy Leader of the House
"The Hon Nicola Roxon, MP",03/03/2011,09/12/2011,Minister for Health and Ageing
"The Hon Jenny Macklin, MP",03/03/2011,09/12/2011,"Minister for Families, Housing, Community Services and Indigenous Affairs"
"The Hon Anthony Albanese, MP",03/03/2011,09/12/2011,Minister for Infrastructure and Transport
"The Hon Anthony Albanese, MP",03/03/2011,09/12/2011,Leader of the House
Senator the Hon Stephen Conroy,03/03/2011,09/12/2011,"Minister for Broadband, Communications and the Digital Economy"
Senator the Hon Stephen Conroy,03/03/2011,09/12/2011,Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy,03/03/2011,09/12/2011,Deputy Leader of the Government in the Senate
Senator the Hon Kim Carr,03/03/2011,09/12/2011,"Minister for Innovation, Industry, Science and Research"
Senator the Hon Penny Wong,03/03/2011,09/12/2011,Minister for Finance and Deregulation
"The Hon Peter Garrett, AM, MP",03/03/2011,09/12/2011,"Minister for School Education, Early Childhood and Youth"
"The Hon Robert McClelland, MP",03/03/2011,09/12/2011,Attorney-General
"The Hon Robert McClelland, MP",03/03/2011,09/12/2011,Vice-President of the Executive Council
Senator the Hon Joseph Ludwig,03/03/2011,09/12/2011,"Minister for Agriculture, Fisheries and Forestry"
Senator the Hon Joseph Ludwig,03/03/2011,09/12/2011,Minister Assisting the Attorney-General on Queensland Floods Recovery
Senator the Hon Joseph Ludwig,03/03/2011,09/12/2011,Manager of Government Business in the Senate
"The Hon Tony Burke, MP",03/03/2011,09/12/2011,"Minister for Sustainability, Environment, Water, Population and Communities"
"The Hon Martin Ferguson, MP",03/03/2011,09/12/2011,Minister for Resources and Energy
"The Hon Martin Ferguson, MP",03/03/2011,09/12/2011,Minister for Tourism
