Ministry 12 September 2011 - 14 December 2011

from http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Library/Parliamentary_Handbook/Current_Ministry_List/Ministry_12_September_2011_-_14_December_2011

The Hon Julia Gillard, MP	Prime Minister
The Hon Wayne Swan, MP		Treasurer
The Hon Wayne Swan, MP		Deputy Prime Minister
The Hon Kevin Rudd, MP		Minister for Foreign Affairs
Senator the Hon Chris Evans	Minister for Tertiary Education, Skills, Jobs and Workplace Relations
Senator the Hon Chris Evans	Leader of the Government in the Senate
The Hon Simon Crean, MP		Minister for Regional Australia, Regional Development and Local Government
The Hon Simon Crean, MP		Minister for the Arts
The Hon Stephen Smith, MP	Minister for Defence
The Hon Stephen Smith, MP	Deputy Leader of the House
The Hon Nicola Roxon, MP	Minister for Health and Ageing
The Hon Jenny Macklin, MP	Minister for Families, Housing, Community Services and Indigenous Affairs
The Hon Anthony Albanese, MP	Minister for Infrastructure and Transport
The Hon Anthony Albanese, MP	Leader of the House
Senator the Hon Stephen Conroy	Minister for Broadband, Communications and the Digital Economy
Senator the Hon Stephen Conroy	Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy	Deputy Leader of the Government in the Senate
Senator the Hon Kim Carr	Minister for Innovation, Industry, Science and Research
Senator the Hon Penny Wong	Minister for Finance and Deregulation
The Hon Peter Garrett, AM, MP	Minister for School Education, Early Childhood and Youth
The Hon Robert McClelland, MP	Attorney-General
The Hon Robert McClelland, MP	Vice-President of the Executive Council
Senator the Hon Joseph Ludwig	Minister for Agriculture, Fisheries and Forestry
Senator the Hon Joseph Ludwig	Minister Assisting the Attorney-General on Queensland Floods Recovery
Senator the Hon Joseph Ludwig	Manager of Government Business in the Senate
The Hon Tony Burke, MP		Minister for Sustainability, Environment, Water, Population and Communities
The Hon Martin Ferguson, MP	Minister for Resources and Energy
The Hon Martin Ferguson, MP	Minister for Tourism
The Hon Chris Bowen, MP		Minister for Immigration and Citizenship
The Hon Dr Craig Emerson, MP	Minister for Trade
The Hon Greg Combet, AM, MP	Minister for Climate Change and Energy Efficiency
The Hon Tanya Plibersek, MP	Minister for Human Services
The Hon Tanya Plibersek, MP	Minister for Social Inclusion
The Hon Brendan O'Connor, MP	Minister for Home Affairs
The Hon Brendan O'Connor, MP	Minister for Justice
The Hon Brendan O'Connor, MP	Minister for Privacy and Freedom of Information
The Hon Kate Ellis, MP		Minister for Employment Participation and Childcare
The Hon Kate Ellis, MP		Minister for the Status of Women
Senator the Hon. Mark Arbib	Minister for Indigenous Employment and Economic Development
Senator the Hon. Mark Arbib	Minister for Sport
Senator the Hon. Mark Arbib	Minister for Social Housing and Homelessness
Senator the Hon Nick Sherry	Minister for Small Business
Senator the Hon Nick Sherry	Minister Assisting on Deregulation and Public Sector Superannuation
Senator the Hon Nick Sherry	Minister Assisting the Minister for Tourism
The Hon Warren Snowdon, MP	Minister for Veterans' Affairs 
The Hon Warren Snowdon, MP	Minister for Defence Science and Personnel
The Hon Warren Snowdon, MP	Minister for Indigenous Health
The Hon Warren Snowdon, MP	Minister Assisting the Prime Minister on the Centenary of ANZAC
The Hon Bill Shorten, MP	Assistant Treasurer
The Hon Bill Shorten, MP	Minister for Financial Services and Superannuation
The Hon. Mark Butler, MP	Minister for Mental Health and Ageing
The Hon. Mark Butler, MP	Minister Assisting the Prime Minister on Mental Health Reform
The Hon Gary Gray, AO, MP	Special Minister of State
The Hon Gary Gray, AO, MP	Special Minister of State for the Public Service and Integrity
The Hon Jason Clare, MP		Minister for Defence Materiel
The Hon David Bradbury, MP	Parliamentary Secretary to the Treasurer
Senator the Hon Jacinta Collins	Parliamentary Secretary for School Education and Workplace Relations
The Hon Julie Collins, MP	Parliamentary Secretary for Community Services
The Hon Mark Dreyfus, QC, MP	Parliamentary Secretary for Climate Change and Energy Efficiency
The Hon Mark Dreyfus, QC, MP	Cabinet Secretary
The Hon Justine Elliot, MP	Parliamentary Secretary for Trade
Senator the Hon Don Farrell	Parliamentary Secretary for Sustainability and Urban Water
Senator the Hon David Feeney	Parliamentary Secretary for Defence
The Hon Mike Kelly, AM, MP	Parliamentary Secretary for Agriculture, Fisheries and Forestry
The Hon Catherine King, MP	Parliamentary Secretary for Health and Ageing
The Hon Catherine King, MP	Parliamentary Secretary for Infrastructure and Transport
Senator the Hon Kate Lundy	Parliamentary Secretary for Immigration and Multicultural Affairs
Senator the Hon Kate Lundy	Parliamentary Secretary to the Prime Minister
The Hon. Richard Marles		Parliamentary Secretary for Pacific Island Affairs
Senator the Hon Jan McLucas	Parliamentary Secretary for Disabilities and Carers
