25 March 2013 -

from http://www.aph.gov.au/About_Parliament/Parliamentary_Departments/Parliamentary_Library/Parliamentary_Handbook/Current_Ministry_List
and
http://www.smh.com.au/opinion/political-news/full-list-of-changes-to-the-gillard-ministry-20130325-2gp93.html

The Hon Julia Gillard, MP		25/3/2013	Prime Minister
The Hon Wayne Swan, MP			25/3/2013	Treasurer
The Hon Wayne Swan, MP			25/3/2013	Deputy Prime Minister
Senator the Hon Stephen Conroy	25/3/2013	Minister for Broadband, Communications and the Digital Economy
Senator the Hon Stephen Conroy	25/3/2013	Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy	25/3/2013	Leader of the Government in the Senate
Senator the Hon Penny Wong		25/3/2013	Minister for Finance and Deregulation
Senator the Hon Penny Wong		25/3/2013	Deputy Leader of the Government in the Senate
The Hon Stephen Smith, MP		25/3/2013	Minister for Defence
The Hon Stephen Smith, MP		25/3/2013	Deputy Leader of the House
The Hon Anthony Albanese, MP	25/3/2013	Minister for Infrastructure and Transport
The Hon Anthony Albanese, MP	25/3/2013	Leader of the House
The Hon Mark Dreyfus, QC, MP	25/3/2013	Attorney-General
The Hon Mark Dreyfus, QC, MP	25/3/2013	Minister for Emergency Management
The Hon Jenny Macklin, MP		25/3/2013	Minister for Families, Community Services and Indigenous Affairs
The Hon Jenny Macklin, MP		25/3/2013	Minister for Disability Reform
Senator the Hon Bob Carr 		25/3/2013	Minister for Foreign Affairs
The Hon Tony Burke, MP			25/3/2013	Minister for Sustainability, Environment, Water, Population and Communities
The Hon Tony Burke, MP			25/3/2013	Vice-President of the Executive Council
The Hon Peter Garrett, AM, MP	25/3/2013	Minister for School Education, Early Childhood and Youth
Senator the Hon Joseph Ludwig	25/3/2013	Minister for Agriculture, Fisheries and Forestry
Senator the Hon Joseph Ludwig	25/3/2013	Minister Assisting on Queensland Floods Recovery
The Hon Dr Craig Emerson, MP	25/3/2013	Minister for Trade and Competitiveness
The Hon Dr Craig Emerson, MP	25/3/2013	Minister Assisting the Prime Minister on Asian Century Policy
The Hon Tanya Plibersek, MP		25/3/2013	Minister for Health
The Hon Bill Shorten, MP		25/3/2013	Minister for Employment and Workplace Relations
The Hon Bill Shorten, MP		25/3/2013	Minister for Financial Services and Superannuation
The Hon. Mark Butler, MP		25/3/2013	Minister for Mental Health and Ageing
The Hon. Mark Butler, MP		25/3/2013	Minister for Social Inclusion
The Hon. Mark Butler, MP		25/3/2013	Minister for Housing and Homelessness
The Hon. Mark Butler, MP		25/3/2013	Minister Assisting the Prime Minister on Mental Health Reform
The Hon Brendan O'Connor, MP	25/3/2013	Minister for Immigration and Citizenship
The Hon Kate Ellis, MP			25/3/2013	Minister for Early Childhood and Childcare
The Hon Kate Ellis, MP			25/3/2013	Minister for Employment Participation
The Hon Warren Snowdon, MP		25/3/2013	Minister for Veterans' Affairs 
The Hon Warren Snowdon, MP		25/3/2013	Minister for Defence Science and Personnel
The Hon Warren Snowdon, MP		25/3/2013	Minister for Indigenous Health
The Hon Warren Snowdon, MP		25/3/2013	Minister Assisting the Prime Minister on the Centenary of ANZAC
The Hon Jason Clare, MP			25/3/2013	Minister for Home Affairs 
The Hon Jason Clare, MP			25/3/2013	Minister for Justice
The Hon Jason Clare, MP			25/3/2013	Cabinet Secretary
The Hon Julie Collins, MP		25/3/2013	Minister for Community Services 
The Hon Julie Collins, MP		25/3/2013	Minister for Indigenous Employment and Economic Development 
The Hon Julie Collins, MP		25/3/2013	Minister for the Status of Women
The Hon David Bradbury, MP		25/3/2013	Assistant Treasurer 
The Hon David Bradbury, MP		25/3/2013	Minister Assisting for Deregulation
