Name,From,To,Ministers
,,,
 The Hon John Howard MP,21.03.2007,3.12.2007,Prime Minister
 The Hon Mark Vaile MP,21.03.2007,3.12.2007,Minister for Transport and Regional Services
 The Hon Mark Vaile MP,21.03.2007,3.12.2007,Deputy Prime Minister
 The Hon Peter Costello MP,21.03.2007,3.12.2007,Treasurer
 The Hon Alexander Downer MP,21.03.2007,3.12.2007,Minister for Foreign Affairs
 The Hon Warren Truss MP,21.03.2007,3.12.2007,Minister for Trade
 Senator the Hon Nick Minchin,21.03.2007,3.12.2007,Minister for Finance and Administration
 Senator the Hon Nick Minchin,21.03.2007,3.12.2007,Leader of the Government in the Senate
 Senator the Hon Nick Minchin,21.03.2007,3.12.2007,Vice-President of the Executive Council
 The Hon Tony Abbott MP,21.03.2007,3.12.2007,Minister for Health and Ageing
 The Hon Tony Abbott MP,21.03.2007,3.12.2007,Leader of the House
 The Hon Philip Ruddock MP,21.03.2007,3.12.2007,Attorney-General
 Senator the Hon Helen Coonan,21.03.2007,3.12.2007,"Minister for Communications, Information Technology and the Arts"
 Senator the Hon Helen Coonan,21.03.2007,3.12.2007,Deputy Leader of the Government in the Senate
 The Hon Dr Brendan Nelson MP,21.03.2007,3.12.2007,Minister for Defence
 The Hon Ian Macfarlane MP,21.03.2007,3.12.2007,"Minister for Industry, Tourism and Resources"
 The Hon Kevin Andrews MP,21.03.2007,3.12.2007,Minister for Immigration and Citizenship
 Senator the Hon Chris Ellison,21.03.2007,3.12.2007,Minister for Human Services
 The Hon Peter McGauran MP,21.03.2007,3.12.2007,"Minister for Agriculture, Fisheries and Forestry"
 The Hon Peter McGauran MP,21.03.2007,3.12.2007,Deputy Leader of the House
 The Hon Mal Brough MP,21.03.2007,3.12.2007,"Minister for Families, Community Services and Indigenous Affairs"
 The Hon Mal Brough MP,21.03.2007,3.12.2007,Minister Assisting the Prime Minister for Indigenous Affairs
 The Hon Julie Bishop MP,21.03.2007,3.12.2007,"Minister for Education, Science and Training"
 The Hon Julie Bishop MP,21.03.2007,3.12.2007,Minister Assisting the Prime Minister for Women's Issues
 The Hon Joe Hockey MP,21.03.2007,3.12.2007,Minister for Employment and Workplace Relations
 The Hon Joe Hockey MP,21.03.2007,3.12.2007,Minister Assisting the Prime Minister for the Public Service
 The Hon Malcolm Turnbull MP,21.03.2007,3.12.2007,Minister for the Environment and Water Resources
 The Hon Jim Lloyd MP,21.03.2007,3.12.2007,"Minister for Local Government, Territories and Roads"
 The Hon Peter Dutton MP,21.03.2007,3.12.2007,Minister for Revenue and Assistant Treasurer
 The Hon Gary Nairn MP,21.03.2007,3.12.2007,Special Minister of State
 The Hon Christopher Pyne MP,21.03.2007,3.12.2007,Minister for Ageing
 Senator the Hon David Johnston,21.03.2007,3.12.2007,Minister for Justice and Customs
 Senator The Hon George Brandis SC,21.03.2007,3.12.2007,Minister for the Arts and Sport
 The Hon Bruce Billson MP,21.03.2007,3.12.2007,Minister for Veterans' Affairs
 The Hon Bruce Billson MP,21.03.2007,3.12.2007,Minister Assisting the Minister for Defence
 The Hon Fran Bailey MP,21.03.2007,3.12.2007,Minister for Small Business and Tourism
 Senator the Hon Eric Abetz,21.03.2007,3.12.2007,"Minister for Fisheries, Forestry and Conservation"
 Senator the Hon Eric Abetz,21.03.2007,3.12.2007,Manager of Government Business in the Senate
 Senator the Hon Nigel Scullion,21.03.2007,3.12.2007,Minister for Community Services
 The Hon Andrew Robb AO MP,21.03.2007,3.12.2007,Minister for Vocational and Further Education
 The Hon Dr Sharman Stone MP,21.03.2007,3.12.2007,Minister for Workforce Participation
 The Hon John Cobb MP,21.03.2007,3.12.2007,Assistant Minister for the Environment and Water Resources
 The Hon Teresa Gambaro MP,21.03.2007,3.12.2007,Assistant Minister for Immigration and Citizenship
 The Hon Tony Smith MP,21.03.2007,3.12.2007,Parliamentary Secretary to the Prime Minister
 The Hon De-Anne Kelly MP,21.03.2007,3.12.2007,Parliamentary Secretary to the Minister for Transport and Regional Services
 The Hon Chris Pearce MP,21.03.2007,3.12.2007,Parliamentary Secretary to the Treasurer
 The Hon Greg Hunt MP,21.03.2007,3.12.2007,Parliamentary Secretary to the Minister for Foreign Affairs
 Senator the Hon Richard Colbeck,21.03.2007,3.12.2007,Parliamentary Secretary to the Minister for Finance and Administration
 The Hon Peter Lindsay MP,21.03.2007,3.12.2007,Parliamentary Secretary to the Minister for Defence
 The Hon Bob Baldwin MP,21.03.2007,3.12.2007,"Parliamentary Secretary to the Minister for Industry, Tourism and Resources"
 The Hon Sussan Ley MP,21.03.2007,3.12.2007,"Parliamentary Secretary to the Minister for Agriculture, Fisheries and Forestry"
 The Hon Pat Farmer MP,21.03.2007,3.12.2007,"Parliamentary Secretary to the Minister for Education, Science and Training"
 Senator the Hon Brett Mason,21.03.2007,3.12.2007,Parliamentary Secretary to the Minister for Health and Ageing
 The Hon Kevin Rudd MP,3.12.2007,,Prime Minister
 The Hon Julia Gillard MP,3.12.2007,,Minister for Education
 The Hon Julia Gillard MP,3.12.2007,,Minister for Employment and Workplace Relations
 The Hon Julia Gillard MP,3.12.2007,,Minister for Social Inclusion
 The Hon Julia Gillard MP,3.12.2007,,Deputy Prime Minister
 The Hon Wayne Swan MP,3.12.2007,,Treasurer
 Senator the Hon Chris Evans,3.12.2007,,Minister for Immigration and Citizenship
 Senator the Hon Chris Evans,3.12.2007,,Leader of the Government in the Senate
 Senator the Hon John Faulkner,3.12.2007,,Special Minister of State
 Senator the Hon John Faulkner,3.12.2007,,Cabinet Secretary
 Senator the Hon John Faulkner,3.12.2007,,Vice-President of the Executive Council
 The Hon Simon Crean MP,3.12.2007,,Minister for Trade
 The Hon Stephen Smith MP,3.12.2007,,Minister for Foreign Affairs
 The Hon Joel Fitzgibbon MP,3.12.2007,,Minister for Defence
 The Hon Nicola Roxon MP,3.12.2007,,Minister for Health and Ageing
 The Hon Jenny Macklin MP,3.12.2007,,"Minister for Families, Housing, Community Services and Indigenous Affairs"
 The Hon Lindsay Tanner MP,3.12.2007,,Minister for Finance and Deregulation
 The Hon Anthony Albanese MP,3.12.2007,,"Minister for Infrastructure, Transport, Regional Development and Local Government"
 The Hon Anthony Albanese MP,3.12.2007,,Leader of the House
 Senator the Hon Stephen Conroy,3.12.2007,,"Minister for Broadband, Communication and the Digital Economy"
 Senator the Hon Stephen Conroy,3.12.2007,,Deputy Leader of the Government in the Senate
 Senator the Hon Kim Carr,3.12.2007,,"Minister for Innovation, Industry, Science and Research"
 Senator the Hon Penny Wong,3.12.2007,,Minister for Climate Change and Water
 The Hon Peter Garrett AM MP,3.12.2007,,"Minister for the Environment, Heritage and the Arts"
 The Hon Robert McClelland MP,3.12.2007,,Attorney-General
 Senator the Hon Joseph Ludwig,3.12.2007,,Minister for Human Services
 Senator the Hon Joseph Ludwig,3.12.2007,,Manager of Government Business in the Senate
Tony Burke,3.12.2007,,"Minister for Agriculture, Fisheries and Forestry"
 The Hon Martin Ferguson MP,3.12.2007,,Minister for Resources and Energy
 The Hon Martin Ferguson MP,3.12.2007,,Minister for Tourism
 The Hon Bob Debus,3.12.2007,,Minister for Home Affairs
 The Hon Chris Bowen MP,3.12.2007,,Assistant Treasurer
 The Hon Chris Bowen MP,3.12.2007,,Minister for Competition Policy and Consumer Affairs
 The Hon Alan Griffin MP,3.12.2007,,Minister for Veterans' Affairs
 The Hon Tanya Plibersek MP,3.12.2007,,Minister for Housing
 The Hon Tanya Plibersek MP,3.12.2007,,Minister for the Status of Women
 The Hon Brendan O'Connor MP,3.12.2007,,Minister for Employment Participation
 The Hon Warren Snowdon MP,3.12.2007,,Minister for Defence Science and Personnel
 The Hon Craig Emerson MP,3.12.2007,,"Minister for Small Business, Independent Contractors and the Service Economy"
 The Hon Craig Emerson MP,3.12.2007,,Minister Assisting the Finance Minister on Deregulation
 Senator the Hon Nick Sherry,3.12.2007,,Minister for Superannuation and Corporate Law
 The Hon Maria Justine Elliot MP,3.12.2007,,Minister for Ageing
 The Hon Kate Ellis MP,3.12.2007,,Minister for Youth and Sport
 The Hon Maxine McKew,3.12.2007,,Parliamentary Secretary for Early Childhood Education and Child Care
 The Hon Greg Combet AM,3.12.2007,,Parliamentary Secretary for Defence Procurement
 The Hon Mike Kelly AM,3.12.2007,,Parliamentary Secretary for Defence Support
 The Hon Gary Gray AO,3.12.2007,,Parliamentary Secretary for Regional Development and Northern Australia
 The Hon Bill Shorten,3.12.2007,,Parliamentary Secretary for Disabilities and Children's Services
 The Hon Bob McMullan MP,3.12.2007,,Parliamentary Secretary for International Development Assistance
 The Hon Duncan Kerr MP,3.12.2007,,Parliamentary Secretary for Pacific Island Affairs
 The Hon Anthony Byrne MP,3.12.2007,,Parliamentary Secretary to the Prime Minister
 Senator the Hon Ursula Stephens,3.12.2007,,Parliamentary Secretary for Social Inclusion and the Voluntary Sector
 Senator the Hon Ursula Stephens,3.12.2007,,Parliamentary Secretary Assisting the Prime Minister for Social Inclusion
 The Hon John Murphy MP,3.12.2007,,Parliamentary Secretary to the Minister for Trade
 Senator the Hon Jan McLucas,3.12.2007,,Parliamentary Secretary to the Minister for Health and Ageing
 The Hon Laurie Ferguson MP,3.12.2007,,Parliamentary Secretary for Multicultural Affairs and Settlement Services
