person count,aph id,name,birthday,alt name

1,EZ5,Tony John Abbott,,Anthony John Abbott
3,N26,Eric Abetz,
# Hack to deal with one occurence of MrAdams in Hansard
4,BV5,Dick Godfrey Harry Adams,,Mradams
5,E4Q,Judith Anne Adams,
6,ID4,Albert Evan Adermann,
7,R36,Anthony Norman Albanese,
8,KD4,Kenneth James Aldred,
9,1M6,Lyn Fay Allison,,Lynette Fay Allison
10,LD4,Richard Kenneth Robert Alston,
11,4K4,John Duncan Anderson,
12,KL6,Peter James Andren,
13,HE4,John Neil Andrew,
14,HK5,Kevin James Andrews,
15,,John Douglas Anthony,
16,XJ6,Larry James Anthony,,Lawrence James Anthony
17,IE4,Brian Roper Archer,
18,,John Lindsay Armitage,
19,IT4,Rodney Alexander Atkinson,
20,JE4,Terrence Gordon Aulich,
21,JT4,Fran Esther Bailey,,Frances Esther Bailey
22,,Marshall Baillieu,
23,MP6,Bruce George Baird,
24,DYK,Mark Horden Baker,
25,MD4,Peter Jeremy Baldwin,
26,LL6,Bob Charles Baldwin,,Robert Charles Baldwin
27,00AUF,Guy Barnett,
28,ZJ6,Phillip Anthony Barresi,
29,DT6,Andrew John Julian Bartlett,
30,0K6,Kerry Joseph Bartlett,
31,LE4,Michael Ehrenfried Baume,
32,ME4,Peter Erne Baume,
33,NE4,Michael Eamon Beahan,
34,OE4,Julian Howard Beale,
35,PE4,Kim Christian Beazley,
36,QE4,David Peter Beddall,
37,7U4,Robert John Bell,
38,G0D,Cory Bernardi,
39,ET4,Arch Ronald Bevis,,Archibald Ronald Bevis
40,HVM,James Mark Bidgood,
41,1K6,Bruce Fredrick Billson,
42,RE4,Gordon Neil Bilney,
43,DZP,Sharon Leah Bird,
44,H6X,Simon John Birmingham,
45,,Reginald John Birney,
46,SE4,Mrs Bronwyn Kathleen Bishop,,the Hon. Bronwyn Kathleen Bishop,Hon. Bronwyn Kathleen Bishop
47,83P,Ms Julie Isabel Bishop,,the Hon. Julie Isabel Bishop,Hon. Julie Isabel Bishop
48,2L6,Mark Bishop,,Thomas Mark Bishop
49,,Reginald Bishop,
50,ND4,Lady Florence Isabel Bjelke-Petersen,
51,TE4,John Rees Black,
52,UE4,Cecil Allen Blanchard,
53,VE4,Neal Blewett,
54,WE4,Charles William Blunt,
55,XE4,Nick Bolkus,
56,,Neville Thomas Bonner,
57,YE4,Ron Leslie Doyle Boswell,,Ronald Leslie Doyle Boswell,Ronald Leslie Boswell
58,,John William Bourchier,
59,TW4,Vicki Worrall Bourne,
60,DZS,Chris Eyles Bowen,,Christopher Eyles Bowen
61,ZE4,Lionel Frost Bowen,
62,H6V,Sue Kay Boyce,,Suzanne Kay Boyce
63,HVW,David John Bradbury,
64,,James Mark Bradfield,
65,FT4,John Walter Bradford,
66,0F4,Raymond Allen Braithwaite,
67,008W7,George Henry Brandis,
