member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party

1,,Anthony John Abbott,Warringah,NSW,26.3.1994,by_election,18.05.2019,defeated,LIB
3,,Dick Godfrey Harry Adams,Lyons,Tas.,13.3.1993,,7.9.2013,defeated,ALP
4,,Albert Evan Adermann,Fairfax,Qld,1.12.1984,,19.2.1990,retired,NPA
5,,Albert Evan Adermann,Fisher,Qld,2.12.1972,,1.12.1984,elected_elsewhere,NPA
6,,Anthony Norman Albanese,Grayndler,NSW,2.3.1996,,,still_in_office,ALP
7,,Kenneth James Aldred,Bruce,Vic.,28.5.1983,by_election,24.3.1990,elected_elsewhere,LIB
8,,Kenneth James Aldred,Deakin,Vic.,24.3.1990,,29.1.1996,retired,LIB
9,,Kenneth James Aldred,Henty,Vic.,13.12.1975,,18.10.1980,defeated,LIB
10,,John Duncan Anderson,Gwydir,NSW,15.4.1989,by_election,17.10.2007,retired,NP
11,,Peter James Andren,Calare,NSW,2.3.1996,,17.10.2007,retired,IND
12,,John Neil Andrew,Wakefield,SA,5.3.1983,,10.11.1998,changed_party,LIB
13,,Kevin James Andrews,Menzies,Vic.,11.5.1991,by_election,21.5.2022,retired,LIB
14,,John Douglas Anthony,Richmond,NSW,14.9.1957,by_election,18.1.1984,resigned,NPA
15,,Lawrence James Anthony,Richmond,NSW,2.3.1996,,9.10.2004,defeated,NP
16,,John Lindsay Armitage,Chifley,NSW,25.10.1969,,4.2.1983,retired,ALP
17,,John Lindsay Armitage,Mitchell,NSW,9.12.1961,,30.11.1963,defeated,ALP
18,,Rodney Alexander Atkinson,Isaacs,Vic.,24.3.1990,,2.3.1996,defeated,LIB
19,,Frances Esther Bailey,McEwen,Vic.,24.3.1990,,13.3.1993,defeated,LIB
20,,Frances Esther Bailey,McEwen,Vic.,2.3.1996,,21.8.2010,retired,LIB
21,,Marshall Baillieu,La Trobe,Vic.,13.12.1975,,18.10.1980,defeated,LIB
22,,Bruce George Baird,Cook,NSW,3.10.1998,,17.10.2007,retired,LIB
23,,Mark Horden Baker,Braddon,Tas.,9.10.2004,,24.11.2007,defeated,LIB
24,,Peter Jeremy Baldwin,Sydney,NSW,5.3.1983,,31.8.1998,retired,ALP
25,,Robert Charles Baldwin,Paterson,NSW,2.3.1996,,3.10.1998,defeated,LIB
26,,Robert Charles Baldwin,Paterson,NSW,10.11.2001,,9.5.2016,retired,LIB
27,,Phillip Anthony Barresi,Deakin,Vic.,2.3.1996,,24.11.2007,defeated,LIB
28,,Kerry Joseph Bartlett,Macquarie,NSW,2.3.1996,,24.11.2007,defeated,LIB
29,,Michael Ehrenfried Baume,Macarthur,NSW,13.12.1975,,5.3.1983,defeated,LIB
30,,Julian Howard Beale,Bruce,Vic.,24.3.1990,,2.3.1996,defeated,LIB
31,,Julian Howard Beale,Deakin,Vic.,1.12.1984,,24.3.1990,elected_elsewhere,LIB
32,,Kim Christian Beazley,Brand,WA,2.3.1996,,17.10.2007,retired,ALP
33,,Kim Christian Beazley,Swan,WA,18.10.1980,,2.3.1996,elected_elsewhere,ALP
34,,David Peter Beddall,Fadden,Qld,5.3.1983,,1.12.1984,elected_elsewhere,ALP
35,,David Peter Beddall,Rankin,Qld,1.12.1984,,31.8.1998,retired,ALP
36,,Archibald Ronald Bevis,Brisbane,Qld,24.3.1990,,21.8.2010,defeated,ALP
37,,James Mark Bidgood,Dawson,Qld,24.11.2007,,21.8.2010,retired,ALP
38,,Bruce Fredrick Billson,Dunkley,Vic.,2.3.1996,,9.5.2016,retired,LIB
39,,Gordon Neil Bilney,Kingston,SA,5.3.1983,,2.3.1996,defeated,ALP
40,,Sharon Leah Bird,Cunningham,NSW,9.10.2004,,21.5.2022,retired,ALP
41,,Reginald John Birney,Phillip,NSW,13.12.1975,,5.3.1983,defeated,LIB
42,,Bronwyn Kathleen Bishop,Mackellar,NSW,26.3.1994,by_election,12.11.2013,changed_party,LIB
43,,Julie Isabel Bishop,Curtin,WA,3.10.1998,,18.05.2019,retired,LIB
44,,Cecil Allen Blanchard,Moore,WA,5.3.1983,,24.3.1990,defeated,ALP
45,,Neal Blewett,Bonython,SA,10.12.1977,,11.2.1994,resigned,ALP
46,,Charles William Blunt,Richmond,NSW,18.2.1984,by_election,24.3.1990,defeated,NPA
47,,John William Bourchier,Bendigo,Vic.,2.12.1972,,5.3.1983,defeated,LIB
48,,Christopher Eyles Bowen,Prospect,NSW,9.10.2004,,21.8.2010,elected_elsewhere,ALP
49,,Lionel Frost Bowen,Kingsford Smith,NSW,25.10.1969,,19.2.1990,retired,ALP
50,,David John Bradbury,Lindsay,NSW,24.11.2007,,7.9.2013,defeated,ALP
51,,James Mark Bradfield,Barton,NSW,13.12.1975,,5.3.1983,defeated,LIB
52,,John Walter Bradford,McPherson,Qld,24.3.1990,,3.10.1998,defeated,CDP
53,,Raymond Allen Braithwaite,Dawson,Qld,13.12.1975,,29.1.1996,retired,NPA
54,,Laurence John Brereton,Kingsford Smith,NSW,24.3.1990,,31.8.2004,retired,ALP
55,,Russell Evan Broadbent,Corinella,Vic.,24.3.1990,,13.3.1993,defeated,LIB
56,,Russell Evan Broadbent,McMillan,Vic.,2.3.1996,,3.10.1998,defeated,LIB
57,,Russell Evan Broadbent,McMillan,Vic.,9.10.2004,,18.05.2019,elected_elsewhere,LIB
58,,Malcolm Thomas Brough,Longman,Qld,2.3.1996,,24.11.2007,defeated,LIB
59,,John Joseph Brown,Parramatta,NSW,10.12.1977,,19.2.1990,retired,ALP
# TODO: Joseph Tilley Brown should be removed when possible,,,,,,,,,
60,,Joseph Tilley Brown,Indi,Vic.,12.12.1906,,13.4.1910,defeated,ANTI-SOC
62,74,Robert James Brown,Charlton,NSW,1.12.1984,,31.8.1998,retired,ALP
63,74,Robert James Brown,Hunter,NSW,18.10.1980,,1.12.1984,elected_elsewhere,ALP
64,,John Mansfield Brumby,Bendigo,Vic.,5.3.1983,,24.3.1990,defeated,ALP
65,,Gordon Munro Bryant,Wills,Vic.,10.12.1955,,19.9.1980,retired,ALP
66,,Melville Harold Bungey,Canning,WA,18.5.1974,,5.3.1983,defeated,LIB
67,,Ms Anna Elizabeth Burke,Chisholm,Vic.,3.10.1998,,11.2.2008,changed_party,ALP
68,,Ms Anna Elizabeth Burke,Chisholm,Vic.,12.2.2008,changed_party,09.10.2012,changed_party,CWM
69,,Mr Anthony Stephen Burke,Watson,NSW,9.10.2004,,,still_in_office,ALP
70,,William George Burns,Isaacs,Vic.,10.12.1977,,18.10.1980,defeated,LIB
71,,Maxwell Arthur Burr,Lyons,Tas.,1.12.1984,,8.2.1993,retired,LIB
72,,Maxwell Arthur Burr,Wilmot,Tas.,13.12.1975,,1.12.1984,elected_elsewhere,LIB
73,,Mark Christopher Butler,Port Adelaide,SA,24.11.2007,,18.05.2019,elected_elsewhere,ALP
74,,Anthony Michael Byrne,Holt,Vic.,6.11.1999,by_election,21.5.2022,retired,ALP
76,,Alan Glyndwr Cadman,Mitchell,NSW,18.5.1974,,17.10.2007,retired,LIB
77,,Stephen Edward Calder,Northern Territory,NT,26.11.1966,,19.9.1980,retired,NCP
78,,Clyde Robert Cameron,Hindmarsh,SA,10.12.1949,,19.9.1980,retired,ALP
79,,Donald Milner Cameron,Fadden,Qld,10.12.1977,,5.3.1983,defeated,LIB
80,,Donald Milner Cameron,Griffith,Qld,26.11.1966,,10.12.1977,elected_elsewhere,LIB
81,,Donald Milner Cameron,Moreton,Qld,5.11.1983,by_election,24.3.1990,defeated,LIB
82,,Eoin Harrap Cameron,Stirling,WA,13.3.1993,,3.10.1998,defeated,LIB
83,,Ewen Colin Cameron,Indi,Vic.,10.12.1977,,8.2.1993,retired,LIB
84,,Ian Milne Dixon Cameron,Maranoa,Qld,18.10.1980,,19.2.1990,retired,NPA
85,,Ross Alexander Cameron,Parramatta,NSW,2.3.1996,,9.10.2004,defeated,LIB
86,,Graeme Campbell,Kalgoorlie,WA,18.10.1980,,3.10.1998,defeated,IND
87,,Jodie Louise Campbell,Bass,Tas,24.11.2007,,21.8.2010,retired,ALP
88,,James Joseph Carlton,Mackellar,NSW,10.12.1977,,14.1.1994,resigned,LIB
89,,Moses Henry Cass,Maribyrnong,Vic.,25.10.1969,,4.2.1983,retired,ALP
90,,Robert Catley,Adelaide,SA,24.3.1990,,13.3.1993,defeated,ALP
91,,James Howard Catts,Cook,NSW,12.12.1906,,16.12.1922,defeated,ALP
92,,Ian Raymond Causley,Page,NSW,2.3.1996,,11.2.2002,changed_party,NP
93,,Ian Raymond Causley,Page,NSW,11.2.2002,changed_party,17.10.2007,retired,CWM
94,,Nicholas David Champion,Wakefield,SA,24.11.2007,,18.05.2019,elected_elsewhere,ALP
95,,Frederick Michael Chaney,Pearce,WA,24.3.1990,,8.2.1993,retired,LIB
96,,Hedley Grant Pearson Chapman,Kingston,SA,13.12.1975,,5.3.1983,defeated,LIB
97,,David Ernest Charles,Isaacs,Vic.,18.10.1980,,19.2.1990,retired,ALP
98,,Robert Edwin Charles,La Trobe,Vic.,24.3.1990,,31.8.2004,retired,LIB
99,,Joan Child,Henty,Vic.,18.10.1980,,11.2.1986,changed_party,ALP
100,,Richard Ian Charlesworth,Perth,WA,5.3.1983,,8.2.1993,retired,ALP
101,,Darren Leicester Cheeseman,Corangamite,Vic,24.11.2007,,7.9.2013,defeated,ALP
102,,Robert Leslie Chynoweth,Dunkley,Vic.,1.12.1984,,24.3.1990,defeated,ALP
103,,Robert Leslie Chynoweth,Dunkley,Vic.,13.3.1993,,2.3.1996,defeated,ALP
104,,Robert Leslie Chynoweth,Flinders,Vic.,5.3.1983,,1.12.1984,elected_elsewhere,ALP
105,,Steven Michele Ciobo,Moncrieff,Qld,10.11.2001,,18.05.2019,retired,LIB
106,,Jason Dean Clare,Blaxland,NSW,24.11.2007,,,still_in_office,ALP
107,,Philip Ronald Cleary,Wills,Vic.,11.4.1992,by_election,25.11.1992,declared_void,IND
108,,Philip Ronald Cleary,Wills,Vic.,13.3.1993,,2.3.1996,defeated,IND
109,,Peter Robert Cleeland,McEwen,Vic.,1.12.1984,,24.3.1990,defeated,ALP
110,,Peter Robert Cleeland,McEwen,Vic.,13.3.1993,,2.3.1996,defeated,ALP
111,,John Kenneth Cobb,Calare,NSW,24.11.2007,,9.5.2016,retired,NP
112,,Michael Roy Cobb,Parkes,NSW,1.12.1984,,31.8.1998,retired,NPA
113,,Barry Cohen,Robertson,NSW,25.10.1969,,19.2.1990,retired,ALP
114,,William Peter Coleman,Wentworth,NSW,11.4.1981,by_election,5.6.1987,retired,LIB
115,,Julie Maree Collins,Franklin,Tas,24.11.2007,,,still_in_office,ALP
116,,Gregory Ivan Combet,Charlton,NSW,24.11.2007,,5.8.2013,resigned,ALP
117,,David Miles Connolly,Bradfield,NSW,18.5.1974,,29.1.1996,retired,LIB
118,,Bryan Joseph Conquest,Hinkler,Qld,1.12.1984,,11.7.1987,defeated,NPA
119,,James Corbett,Maranoa,Qld,26.11.1966,,19.9.1980,retired,NCP
120,,Ann Kathleen Corcoran,Isaacs,Vic.,12.8.2000,by_election,17.10.2007,retired,ALP
121,,Peter Howard Costello,Higgins,Vic.,24.3.1990,,19.10.2009,resigned,LIB
122,,John Francis Cotter,Kalgoorlie,WA,13.12.1975,,18.10.1980,defeated,LIB
123,,Mark Maclean Coulton,Parkes,NSW,24.11.2007,,30.8.2016,changed_party,Nats
124,,Brian William Courtice,Hinkler,Qld,11.7.1987,,13.3.1993,defeated,ALP
125,,David Bruce Cowan,Lyne,NSW,18.10.1980,,8.2.1993,retired,NPA
126,,David Alexander Cox,Kingston,SA,3.10.1998,,9.10.2004,defeated,ALP
127,,Mary Catherine Crawford,Forde,Qld,11.7.1987,,2.3.1996,defeated,ALP
128,,Simon Findlay Crean,Hotham,Vic.,24.3.1990,,5.8.2013,retired,ALP
130,,Janice Ann Crosio,Prospect,NSW,24.3.1990,,31.8.2004,retired,ALP
131,,Barry Thomas Cunningham,McMillan,Vic.,18.10.1980,,24.3.1990,defeated,ALP
132,,Barry Thomas Cunningham,McMillan,Vic.,13.3.1993,,2.3.1996,defeated,ALP
133,,Yvette Maree D'Ath,Petrie,Qld,24.11.2007,,7.9.2013,defeated,ALP
134,,Michael David Danby,Melbourne Ports,Vic.,3.10.1998,,18.05.2019,retired,ALP
135,,Steven John Dargavel,Fraser,ACT,1.2.1997,by_election,31.8.1998,retired,ALP
136,,John Sydney Dawkins,Fremantle,WA,10.12.1977,,4.2.1994,resigned,ALP
137,,Elaine Elizabeth Darling,Lilley,Qld,18.10.1980,,8.2.1993,retired,ALP
