Name,State,Party,Start of service,Start reason,End of service,End reason
,,,,,,
"Abetz, Eric",Tas.,LIB,22.2.1994,section_15,,
"Adams, Judith Anne ",WA,LIB,1.7.2005,,,
"Allison, Lynette Fay",Vic.,AD,1.7.1996,,,
"Alston, Richard Kenneth Robert",Vic.,LIB,7.5.1986,section_15,10.2.2004,resigned
"Archer, Brian Roper",Tas.,LIB,13.12.1975,,31.1.1994,resigned
"Aulich, Terrence Gordon",Tas.,ALP,1.12.1984,,30.6.1993,defeated
"Barnett, Guy",Tas.,LIB,26.2.2002,section_15,,
"Bartlett, Andrew John Julian",Qld,AD,30.10.1997,section_15,,
"Baume, Michael Ehrenfried",NSW,LIB,1.7.1985,,9.9.1996 ,resigned
"Baume, Peter Erne",NSW,LIB,18.5.1974,,28.1.1991,resigned
"Beahan, Michael Eamon",WA,ALP,11.7.1987,,30.6.1996,defeated
"Bell, Robert John",Tas.,AD,7.3.1990,section_15,30.6.1996,defeated
"Bernardi, Cory",SA,LIB,4.5.2006,section_15,,
"Birmingham, Simon John",SA,LIB,3.5.2007,section_15,,
"Bishop, Bronwyn Kathleen",NSW,LIB,11.7.1987,,24.2.1994,resigned
"Bishop, Reginald",SA,ALP,1.7.1962,,30.6.1981,retired
"Bishop, T. M.",WA,ALP,1.7.1996,,,
"Bjelke-Petersen, Florence Isabel",Qld,NPA,12.3.1981,section_15,30.6.1993,retired
"Black, John Rees",Qld,ALP,1.12.1984,,30.6.1990,defeated
"Bolkus, Nick",SA,ALP,1.7.1981,,30.6.2005,retired
"Bonner, Neville Thomas",Qld,IND,11.6.1971,section_15,4.2.1983,defeated
"Boswell, Ronald Leslie Doyle",Qld,NPA,5.3.1983,,,
"Bourne, Vicki Worrall",NSW,AD,1.7.1990,,30.6.2002,defeated
"Boyce, Suzanne Kay",Qld,LIB,19.4.2007,section_15,,
"Brandis, George Henry",Qld,LIB,16.5.2000,section_15,,
"Brown, Carol Louise",Tas.,ALP,25.8.2005,section_15,,
"Brown, Robert James",Tas.,GRN,1.7.1996,,,
"Brownhill, David Gordon Cadell",NSW,NPA,1.12.1984,,14.4.2000,resigned
"Buckland, Geoffrey Frederick",SA,ALP,14.9.2000,section_15,30.6.2005,retired
"Burns, Bryant Robert",Qld,ALP,11.7.1987,,30.6.1996,retired
"Bushby, David Christopher",SA,LIB,30.8.2007,section_15,,
"Button, John Norman",Vic.,ALP,18.5.1974,,31.3.1993,resigned
"Calvert, Paul Henry",Tas.,LIB,11.7.1987,,29.8.2007,resigned
"Campbell, George",NSW,ALP,17.9.1997,section_15,,
"Campbell, Ian Gordon",WA,LIB,16.5.1990,section_15,31.5.2007,resigned
"Carr, Kim John",Vic.,ALP,28.4.1993,section_15,,
"Carrick, John Leslie",NSW,LIB,1.7.1971,,5.6.1987,retired
"Cavanagh, James Luke",SA,ALP,1.7.1962,,30.6.1981,retired
"Chamarette, Christabel Marguerite Alain",WA,GWA,12.3.1992,section_15,30.6.1996,defeated
"Chaney, Frederick Michael",WA,LIB,18.5.1974,,27.2.1990,resigned
"Chapman, Hedley Grant Pearson",SA,LIB,11.7.1987,,,
"Cherry, John Clifford",Qld,AD,31.7.2001,section_15,30.6.2005,defeated
"Childs, Bruce Kenneth",NSW,ALP,1.7.1981,,10.9.1997,resigned
"Chipp, Donald Leslie",Vic.,AD,1.7.1978,,18.8.1986,resigned
"Coates, John",Tas.,ALP,1.7.1981,,20.8.1996,resigned
"Cohen, Samuel Herbert",Vic.,ALP,1.7.1962,,7.10.1969,died
"Colbeck, Richard Mansell",Tas.,LIB,4.2.2002,section_15,,
"Coleman, Ruth Nancy",WA,ALP,18.5.1974,,5.6.1987,retired
"Collard, Stanley James",Qld,NPA,13.12.1975,,5.6.1987,retired
"Collins, Jacinta Mary Ann",Vic.,ALP,3.5.1995,section_15,30.6.2005,defeated
"Collins, Robert Lindsay",NT,ALP,11.7.1987,,30.3.1998,resigned
"Colston, Malcolm Arthur",Qld,IND,13.12.1975,,30.6.1999,retired
"Conroy, Stephen Michael",Vic.,ALP,30.4.1996,section_15,,
"Cook, Peter Francis Salmon",WA,ALP,5.3.1983,,30.6.2005,retired
"Coonan, Helen Lloyd",NSW,LIB,1.7.1996,,,
"Cooney, Bernard Cornelius",Vic.,ALP,1.12.1984,,30.6.2002,retired
"Cormann, Mathias Hubert Paul",WA,LIB,19.6.2007,section_15,,
"Coulter, John Richard",SA,AD,11.7.1987 ,,20.11.1995 ,resigned
"Crane, Arthur Winston",WA,LIB,1.7.1990 ,,30.6.2002 ,defeated
"Crichton-Browne, Noel Ashley",WA,IND LIB,1.7.1981 ,,30.6.1996 ,retired
"Crossin, Patricia Margaret",NT,ALP,16.6.1998 ,section_15,,
"Crowley, Rosemary Anne",SA,ALP,5.3.1983 ,,30.6.2002 ,retired
"Davidson, Gordon Sinclair",SA,LIB,8.2.1962 ,,30.6.1962 ,retired;
"Davidson, Gordon Sinclair",SA,LIB,1.7.1965 ,,30.6.1981 ,retired
"Davidson, Gordon Sinclair",SA,LIB,28.9.1961 ,section_15,8.12.1961 ,term expired; 
"Denman, Kay Janet",Tas.,ALP,24.8.1993 ,section_15,30.6.2005 ,retired
"Devereux, John Robert",Tas.,IND,11.7.1987 ,,7.2.1996 ,resigned
"Devlin, Arthur Ray",Tas.,ALP,1.12.1984 ,,30.6.1990 ,retired
"Dunn, Patricia Irene (Irina)",NSW,IND,21.7.1988 ,,30.6.1990 ,defeated
"Durack, Peter Drew",WA,LIB,1.7.1971 ,,30.6.1993 ,retired
"Eggleston, Alan",WA,LIB,1.7.1996,,,
"Ellison, Christopher Martin",WA,LIB,1.7.1993,,,
"Elstob, Ronald Charles",SA,ALP,1.7.1978 ,,5.6.1987 ,retired
"Evans, Christopher Vaughan",WA,ALP,1.7.1993,,,
"Evans, Gareth John",Vic.,ALP,1.7.1978 ,,6.2.1996 ,resigned
"Evans, John Gordon",WA,AD,5.3.1983 ,,30.6.1985 ,defeated
"Faulkner, John Philip",NSW,ALP,4.4.1989,section_15,,
"Ferguson, Alan Baird",SA,LIB,26.5.1992,section_15,,
"Ferris, Jeannie Margaret",SA,LIB,1.7.1996 ,,12.7.1996 ,resigned; 
"Ferris, Jeannie Margaret",SA,LIB,24.7.1996 ,section_15,2.4.2007 ,died
"Fielding, Steven",Vic.,FFP,1.7.2005 ,,,
"Fierravanti-Wells, Concetta Anna",NSW,LIB,5.5.2005 ,section_15,,
"Fifield, Mitchell Peter",Vic.,LIB,31.3.2004 ,section_15,,
"Fisher, Mary Josephine",SA,LIB,6.6.2007,section_15,,
"Foreman, Dominic John",SA,ALP,1.7.1981 ,,15.9.1997 ,resigned
"Forshaw, Michael George",NSW,ALP,10.5.1994,section_15,,
"Georges, George",Qld,IND,1.7.1968 ,,5.6.1987 ,defeated
"Gibbs, Brenda",Qld,ALP,1.7.1996 ,,30.6.2002 ,defeated
"Gibson, Brian Francis",Tas.,LIB,1.7.1993 ,,22.2.2002 ,resigned
"Gietzelt, Arthur Thomas",NSW,ALP,1.7.1971 ,,27.2.1989 ,resigned
"Giles, Patricia Jessie",WA,ALP,1.7.1981 ,,30.6.1993 ,retired
"Greig, Brian Andrew",WA,AD,1.7.1999,,30.5.2005 ,defeated
"Grimes, Donald James",Tas.,ALP,18.5.1974 ,,2.4.1987 ,resigned
"Guilfoyle, Margaret Georgina Constance",Vic.,LIB,1.7.1971 ,,5.6.1987 ,retired
"Haines, Janine",SA,AD,1.7.1981 ,,1.3.1990 ,resigned
"Haines, Janine",SA,AD,14.12.1977 ,section_15,30.6.1978 ,term_expired
"Hamer, David John",Vic.,LIB,1.7.1978 ,,30.6.1990 ,retired
"Harradine, Brian",Tas.,IND,13.12.1975 ,,30.6.2005 ,retired
"Harris, Leonard William",Qld,PHON,2.7.1999,,30.6.2005 ,defeated
"Hearn, Jean Margaret",Tas.,ALP,15.10.1980 ,section_15,30.6.1985 ,retired
"Heffernan, William Daniel",NSW,LIB,18.9.1996,section_15,,
"Hendrickson, Albion",Vic.,ALP,1.7.1947 ,,30.6.1971 ,retired
"Herron, John Joseph",Qld,LIB,1.7.1990 ,,5.9.2002 ,resigned
"Hill, Heather Elaine",Qld,PHON,1998 ,,23.9.1999 ,disqualified
"Hill, Robert Murray",SA,LIB,1.7.1981 ,,15.3.2006 ,resigned
"Hogg, John Joseph",Qld,ALP,1.7.1996 ,,,
"Humphries, Gary John Joseph ",ACT,LIB,18.2.2003 ,section_15,,
"Hurley, Annette Kay",SA,ALP,1.7.2005 ,,,
"Hutchins, Stephen Patrick",NSW,ALP,14.10.1998 ,section_15,,
