member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party

1,,Eric Abetz,,Tas.,22.2.1994,section_15,21.5.2022,defeated,LIB
2,,Judith Anne Adams,,WA,1.7.2005,,31.03.2012,died,LIB
4,,Richard Kenneth Robert Alston,,Vic.,7.5.1986,section_15,10.2.2004,resigned,LIB
5,,Brian Roper Archer,,Tas.,13.12.1975,,31.1.1994,resigned,LIB
6,,Terrence Gordon Aulich,,Tas.,1.12.1984,,30.6.1993,defeated,ALP
7,,Guy Barnett,,Tas.,26.2.2002,section_15,30.6.2011,defeated,LIB
9,,Michael Ehrenfried Baume,,NSW,1.7.1985,,9.9.1996 ,resigned,LIB
10,,Peter Erne Baume,,NSW,18.5.1974,,28.1.1991,resigned,LIB
11,,Michael Eamon Beahan,,WA,11.7.1987,,01.02.1994,changed_party,ALP
272,,Michael Eamon Beahan,,WA,01.02.1994,changed_party,30.6.1996,defeated,PRES
12,,Robert John Bell,,Tas.,7.3.1990,section_15,30.6.1996,defeated,AD
13,,Cory Bernardi,,SA,4.5.2006,section_15,7.2.2017,changed_party,LIB
14,,Simon John Birmingham,,SA,3.5.2007,section_15,28.1.2025,resigned,LIB
15,,Bronwyn Kathleen Bishop,,NSW,11.7.1987,,24.2.1994,resigned,LIB
16,,Thomas Mark Bishop,,WA,1.7.1996,,30.6.2014,retired,ALP
17,,Reginald Bishop,,SA,1.7.1962,,30.6.1981,retired,ALP
18,,Florence Isabel Bjelke-Petersen,,Qld,12.3.1981,section_15,30.6.1993,retired,NPA
19,,John Rees Black,,Qld,1.12.1984,,30.6.1990,defeated,ALP
20,,Nick Bolkus,,SA,1.7.1981,,30.6.2005,retired,ALP
21,,Neville Thomas Bonner,,Qld,11.6.1971,section_15,4.2.1983,defeated,IND
22,,Ronald Leslie Doyle Boswell,,Qld,5.3.1983,,30.6.2014,retried,NPA
23,,Vicki Worrall Bourne,,NSW,1.7.1990,,30.6.2002,defeated,AD
24,,Suzanne Kay Boyce,,Qld,19.4.2007,section_15,30.6.2014,retired,LIB
#Brandis resigned on the 7th but was still being listed in pairs until the 15th,,,,,,,,,
25,,George Henry Brandis,,Qld,16.5.2000,section_15,15.2.2018,resigned,LIB
26,,Carol Louise Brown,,Tas.,25.8.2005,section_15,,still_in_office,ALP
27,696,Robert James Brown,,Tas.,1.7.1996,,15.06.2012,resigned,GRN
# TODO: We're also missing Neil Anthony Brown QC,,,,,,,,,
28,,David Gordon Cadell Brownhill,,NSW,1.12.1984,,14.4.2000,resigned,NPA
29,,Geoffrey Frederick Buckland,,SA,14.9.2000,section_15,30.6.2005,retired,ALP
30,,Bryant Robert Burns,,Qld,11.7.1987,,30.6.1996,retired,ALP
31,,David Christopher Bushby,,Tasmania,30.8.2007,section_15,21.1.2019,resigned,LIB
32,,John Norman Button,,Vic.,18.5.1974,,31.3.1993,resigned,ALP
33,,Paul Henry Calvert,,Tas.,11.7.1987,,19.08.2002,changed_party,LIB
275,,Paul Henry Calvert,,Tas.,19.08.2002,changed_party,14.08.2007,changed_party,PRES
276,,Paul Henry Calvert,,Tas.,15.08.2007,changed_party,29.8.2007,resigned,LIB
35,,Ian Gordon Campbell,,WA,16.5.1990,section_15,31.5.2007,resigned,LIB
36,,Kim John Carr,,Vic.,28.4.1993,section_15,21.5.2022,retired,ALP
37,,John Leslie Carrick,,NSW,1.7.1971,,5.6.1987,retired,LIB
38,,James Luke Cavanagh,,SA,1.7.1962,,30.6.1981,retired,ALP
39,,Christabel Marguerite Alain Chamarette,,WA,12.3.1992,section_15,30.6.1996,defeated,GWA
40,,Frederick Michael Chaney,,WA,18.5.1974,,27.2.1990,resigned,LIB
42,,John Clifford Cherry,,Qld,31.7.2001,section_15,30.6.2005,defeated,AD
43,,Bruce Kenneth Childs,,NSW,1.7.1981,,10.9.1997,resigned,ALP
44,,Donald Leslie Chipp,,Vic.,1.7.1978,,18.8.1986,resigned,AD
45,,John Coates,,Tas.,1.7.1981,,20.8.1996,resigned,ALP
46,,Samuel Herbert Cohen,,Vic.,1.7.1962,,7.10.1969,died,ALP
47,,Richard Mansell Colbeck,,Tas.,4.2.2002,section_15,9.5.2016,defeated,LIB
48,,Ruth Nancy Coleman,,WA,18.5.1974,,5.6.1987,retired,ALP
49,,Stanley James Collard,,Qld,13.12.1975,,5.6.1987,retired,NPA
50,,Jacinta Mary Ann Collins,,Vic.,3.5.1995,section_15,30.6.2005,defeated,ALP
265,,Jacinta Mary Ann Collins,,Vic.,8.5.2008,,15.2.2019,resigned,ALP
51,,Robert Lindsay Collins,,NT,11.7.1987,,30.3.1998,resigned,ALP
52,,Malcolm Arthur Colston,,Qld,13.12.1975,,30.6.1999,retired,IND
53,,Stephen Michael Conroy,,Vic.,30.4.1996,section_15,30.9.2016,resigned,ALP
54,,Peter Francis Salmon Cook,,WA,5.3.1983,,30.6.2005,retired,ALP
55,,Helen Lloyd Coonan,,NSW,1.7.1996,,22.8.2011,resigned,LIB
56,,Bernard Cornelius Cooney,,Vic.,1.12.1984,,30.6.2002,retired,ALP
57,,Mathias Hubert Paul Cormann,,WA,19.6.2007,section_15,6.11.2020,resigned,LIB
58,,John Richard Coulter,,SA,11.7.1987 ,,20.11.1995 ,resigned,AD
59,,Arthur Winston Crane,,WA,1.7.1990 ,,30.6.2002 ,defeated,LIB
60,,Noel Ashley Crichton-Browne,,WA,1.7.1981 ,,30.6.1996 ,retired,IND LIB
61,,Patricia Margaret Crossin,,NT,16.6.1998 ,section_15,06.09.2013,retired,ALP
62,,Rosemary Anne Crowley,,SA,5.3.1983 ,,30.6.2002 ,retired,ALP
63,,Gordon Sinclair Davidson,,SA,8.2.1962 ,,30.6.1962 ,retired;,LIB
64,,Gordon Sinclair Davidson,,SA,1.7.1965 ,,30.6.1981 ,retired,LIB
65,,Gordon Sinclair Davidson,,SA,28.9.1961 ,section_15,8.12.1961 ,term expired; ,LIB
66,,Kay Janet Denman,,Tas.,24.8.1993 ,section_15,30.6.2005 ,retired,ALP
67,,John Robert Devereux,,Tas.,11.7.1987 ,,7.2.1996 ,resigned,IND
68,,Arthur Ray Devlin,,Tas.,1.12.1984 ,,30.6.1990 ,retired,ALP
69,,Patricia Irene Dunn,,NSW,21.7.1988 ,,30.6.1990 ,defeated,IND
70,,Peter Drew Durack,,WA,1.7.1971 ,,30.6.1993 ,retired,LIB
71,,Alan Eggleston,,WA,1.7.1996,,30.6.2014,retired,LIB
73,,Ronald Charles Elstob,,SA,1.7.1978 ,,5.6.1987 ,retired,ALP
74,,Christopher Vaughan Evans,,WA,1.7.1993,,12.4.2013,resigned,ALP
75,,Gareth John Evans,,Vic.,1.7.1978 ,,6.2.1996 ,resigned,ALP
76,,John Gordon Evans,,WA,5.3.1983 ,,30.6.1985 ,defeated,AD
77,,John Philip Faulkner,,NSW,4.4.1989,section_15,6.2.2015,resigned,ALP
78,,Alan Baird Ferguson,,SA,26.5.1992,section_15,14.8.2007,changed_party,LIB
263,,Alan Baird Ferguson,,SA,15.8.2007,changed_party,25.8.2008,changed_party,PRES
278,,Alan Baird Ferguson,,SA,26.8.2008,changed_party,30.6.2011,retired,DPRES
79,,Jeannie Margaret Ferris,,SA,1.7.1996 ,,12.7.1996 ,resigned; ,LIB
80,,Jeannie Margaret Ferris,,SA,24.7.1996 ,section_15,2.4.2007 ,died,LIB
81,,Steve Fielding,,Vic.,1.7.2005 ,,30.6.2011,defeated,FFP
82,,Concetta Anna Fierravanti-Wells,,NSW,5.5.2005 ,section_15,21.5.2022,retired,LIB
83,,Mitchell Peter Fifield,,Vic.,31.3.2004 ,section_15,11.9.2019,resigned,LIB
84,,Mary Jo Fisher,,SA,6.6.2007,section_15,14.8.2012,resigned,LIB
85,,Dominic John Foreman,,SA,1.7.1981 ,,15.9.1997 ,resigned,ALP
86,,Michael George Forshaw,,NSW,10.5.1994,section_15,30.6.2011,retired,ALP
87,,George Georges,,Qld,1.7.1968 ,,5.6.1987 ,defeated,IND
88,,Brenda Gibbs,,Qld,1.7.1996 ,,30.6.2002 ,defeated,ALP
89,,Brian Francis Gibson,,Tas.,1.7.1993 ,,22.2.2002 ,resigned,LIB
90,,Arthur Thomas Gietzelt,,NSW,1.7.1971 ,,27.2.1989 ,resigned,ALP
91,,Patricia Jessie Giles,,WA,1.7.1981 ,,30.6.1993 ,retired,ALP
92,,Brian Andrew Greig,,WA,1.7.1999,,30.6.2005 ,defeated,AD
93,,Donald James Grimes,,Tas.,18.5.1974 ,,2.4.1987 ,resigned,ALP
94,,Margaret Georgina Constance Guilfoyle,,Vic.,1.7.1971 ,,5.6.1987 ,retired,LIB
95,,Janine Haines,,SA,1.7.1981 ,,1.3.1990 ,resigned,AD
96,,Janine Haines,,SA,14.12.1977 ,section_15,30.6.1978 ,term_expired,AD
97,,David John Hamer,,Vic.,1.7.1978 ,,30.6.1990 ,retired,LIB
98,,Brian Harradine,,Tas.,13.12.1975 ,,30.6.2005 ,retired,IND
99,,Leonard William Harris,,Qld,2.7.1999,,30.6.2005 ,defeated,PHON
100,,Jean Margaret Hearn,,Tas.,15.10.1980 ,section_15,30.6.1985 ,retired,ALP
101,,William Daniel Heffernan,,NSW,18.9.1996,section_15,9.5.2016,retired,LIB
102,,Albion Hendrickson,,Vic.,1.7.1947 ,,30.6.1971 ,retired,ALP
103,,John Joseph Herron,,Qld,1.7.1990 ,,5.9.2002 ,resigned,LIB
104,,Heather Elaine Hill,,Qld,18.11.1998,,23.9.1999 ,disqualified,PHON
105,,Robert Murray Hill,,SA,1.7.1981 ,,15.3.2006 ,resigned,LIB
106,,John Joseph Hogg,,Qld,1.7.1996,,19.8.2002,changed_party,ALP
264,,John Joseph Hogg,,Qld,19.8.2002,changed_party,25.8.2008,changed_party,DPRES
277,,John Joseph Hogg,,Qld,26.8.2008,changed_party,30.6.2014,retired,PRES
107,,Gary John Joseph Humphries,,ACT,18.2.2003 ,section_15,06.09.2013,retired,LIB
108,,Annette Kay Hurley,,SA,1.7.2005,,30.6.2011,retired,ALP
109,,Stephen Patrick Hutchins,,NSW,14.10.1998,section_15,30.6.2011,defeated,ALP
110,,Jean Alice Jenkins,,WA,11.7.1987 ,,30.6.1990 ,defeated,AD
111,,Donald Scott Jessop,,SA,1.7.1971 ,,5.6.1987 ,defeated,IND
112,,David Albert Lloyd Johnston,,WA,1.7.2002 ,,9.5.2016,defeated,LIB
113,,Gerry Norman Jones,,Qld,1.7.1981 ,,30.6.1996 ,retired,ALP
114,,Barnaby Thomas Gerard Joyce,,Qld,1.7.2005,,8.8.2013,resigned,NP
115,,James Bernard Keeffe,,Qld,1.7.1965 ,,4.2.1983 ,retired,ALP
117,,Cheryl Kernot,,Qld,1.7.1990 ,,15.10.1997 ,resigned,AD
118,,Bernard Francis Kilgariff,,NT,13.12.1975 ,,5.6.1987 ,retired,LIB
120,,John William Knight,,ACT,13.12.1975 ,,4.3.1981 ,died,LIB
121,,Susan Christine Knowles,,WA,1.12.1984 ,,30.6.2005 ,retired,LIB
122,,Milivoj Emil Lajovic,,NSW,13.12.1975 ,,30.6.1985 ,retired,LIB
123,,Condor Louis Laucke,,SA,2.11.1967,section_15,17.02.1976,changed_party,LIB
266,,Condor Louis Laucke,,SA,17.02.1976,changed_party,30.6.1981,retired,PRES
124,,Meg Heather Lees,,SA,4.4.1990 ,section_15,30.6.2005 ,defeated,IND
125,,Austin William Russell Lewis,,Vic.,17.12.1976 ,section_15,30.6.1993 ,retired,LIB
127,,Stephen Loosley,,NSW,1.7.1990 ,,19.5.1995 ,resigned,ALP
128,,Joseph William Ludwig,,Qld,1.7.1999,,9.5.2016,retired,ALP
129,,Kate Alexandra Lundy,,ACT,2.3.1996,,24.3.2015,resigned,ALP
130,,Ian Douglas Macdonald,,Qld,1.7.1990,,1.7.2019,defeated,LIB
133,,David John Macgibbon,,Qld,1.7.1978 ,,30.6.1999 ,defeated,LIB
134,,Susan Mary Mackay,,Tas.,8.3.1996 ,section_15,29.7.2005 ,resigned,ALP
135,,Michael John Macklin,,Qld,1.7.1981 ,,30.6.1990 ,retired,AD
136,,Graham Ross Maguire,,SA,5.3.1983 ,,30.6.1993 ,defeated,ALP
137,,Diane Elizabeth Margetts,,WA,1.7.1993 ,,30.6.1999 ,defeated,GWA
138,,Gavin Mark Marshall,,Vic.,1.7.2002 ,,6.7.2014,changed_party,ALP
139,,John Raymond Martyr,,WA,11.3.1981 ,section_15,4.2.1983 ,defeated,LIB
140,,Brett John Mason,,Qld,1.7.1999,,15.4.2015,resigned,LIB
141,,Colin Victor James Mason,,NSW,1.7.1978 ,,5.6.1987 ,retired,AD
142,,Charles Ronald Maunsell,,Qld,1.7.1968 ,,30.6.1981 ,defeated,NCP
143,,Ronald Edward McAuliffe,,Qld,1.7.1971 ,,30.6.1981 ,retired,ALP
144,,Douglas McClelland,,NSW,1.7.1962,,21.04.1983,changed_party,ALP
268,,Douglas McClelland,,NSW,21.04.1983,changed_party,23.1.1987,resigned,PRES
145,,Anne McEwen,,SA,1.7.2005 ,,9.5.2016,defeated,ALP
146,,Julian John James McGauran,,Vic.,11.7.1987,,30.6.1990,defeated,NP
147,,Julian John James McGauran,,Vic.,1.7.1993,,30.6.2011,defeated,NP
148,,Gordon Douglas McIntosh,,WA,18.5.1974 ,,5.6.1987 ,retired,ALP
149,,James Philip McKiernan,,WA,1.12.1984 ,,30.6.2002 ,retired,ALP
150,,Geoffrey Thomas McLaren,,SA,1.7.1971 ,,4.2.1983 ,retired,ALP
151,,Paul Alexander McLean,,NSW,11.7.1987 ,,23.8.1991 ,resigned,AD
152,,Jan Elizabeth McLucas,,Qld,1.7.1999,,9.5.2016,retired,ALP
