"Name","From","To","Shadow Ministers"
,,,
"Alan Griffin",23/11/2001,18/02/2003,"Parliamentary Secretary to the Leader of the Opposition"
"Alan Griffin",23/11/2001,18/02/2003,"Parliamentary Secretary to the Shadow Minister for Consumer Affairs and Banking Services"
"Alan Griffin",20/10/1998,23/11/2001,"Parliamentary Secretary to the Shadow Minister for Health"
"Alan Griffin",08/12/2003,25/10/2004,"Shadow Minister Assisting the Shadow Minister for Health"
"Alan Griffin",08/12/2003,25/10/2004,"Shadow Minister for Consumer Affairs"
"Alan Griffin",18/02/2003,08/12/2003,"Shadow Minister for Consumer Protection and Consumer Health"
"Alan Griffin",10/12/2006,06/12/2007,"Shadow Minister for Defence Science and Personnel"
"Alan Griffin",24/06/2005,06/12/2007,"Shadow Minister for Veterans' Affairs"
"Alan Griffin",26/10/2004,24/06/2005,"Shadow Minister Sport and Recreation"
"Alan Griffin",24/06/2005,06/12/2007,"Shadow Special Minister of State"
"Andrew Laming",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Regional Health Services and Indigenous Health"
"Andrew Robb",08/12/2009,18/09/2013,"Chairman of the Coalition Policy Development Committee"
"Andrew Robb",14/09/2010,18/09/2013,"Shadow Minister for Finance, Deregulation and Debt Reduction"
"Andrew Robb",06/12/2007,22/09/2008,"Shadow Minister for Foreign Affairs"
"Andrew Robb",22/09/2008,08/12/2009,"Shadow Minister for Infrastructure and COAG and Shadow Minister Assisting the Leader on Emissions Trading Design"
"Andrew Southcott",06/12/2007,22/09/2008,"Shadow Minister for Employment Participation and Apprenticeships and Training"
"Andrew Southcott",22/09/2008,08/12/2009,"Shadow Minister for Employment Participation, Training and Sport"
"Andrew Southcott",14/09/2010,18/09/2013,"Shadow Parliamentary Secretary for Primary Healthcare"
"Andrew Southcott",08/12/2009,14/09/2010,"Shadow Parliamentary Secretary for Regional Health Services, Health and Wellbeing"
"Andrew Theophanous",20/03/1996,21/10/1998,"Secretary to Shadow Ministry"
"Ann Corcoran",26/10/2004,24/06/2005,"Shadow Parliamentary Secretary for Health"
"Ann Corcoran",24/06/2005,10/12/2006,"Shadow Parliamentary Secretary for Immigration"
"Annette Ellis",23/11/2001,23/08/2002,"Parliamentary Secretary to the Shadow Minister for Family and Community Services"
"Annette Ellis",23/08/2002,25/10/2004,"Shadow Minister Assisting the Minister for Family and Community Services on Disabilities"
"Annette Ellis",23/08/2002,25/10/2004,"Shadow Minister for Ageing and Seniors"
"Anthony Albanese",26/10/2004,10/12/2006,"Deputy Manager of Opposition Business in the House"
"Anthony Albanese",10/12/2006,06/12/2007,"Manager of Opposition Business in the House"
"Anthony Albanese",20/10/1998,23/11/2001,"Parliamentary Secretary to the Shadow Minister for Family and Community Services"
"Anthony Albanese",23/11/2001,23/08/2002,"Shadow Minister for Ageing and Seniors"
"Anthony Albanese",23/08/2002,25/10/2004,"Shadow Minister for Employment Services and Training"
"Anthony Albanese",26/10/2004,24/06/2005,"Shadow Minister for Environment and Heritage"
"Anthony Albanese",24/06/2005,10/12/2006,"Shadow Minister for Environment and Heritage and Water"
"Anthony Albanese",10/12/2006,06/12/2007,"Shadow Minister for Water and Infrastructure"
"Anthony Byrne",10/12/2006,06/12/2007,"Shadow Parliamentary Secretary for Foreign Affairs"
"Arch Bevis",26/10/2004,24/06/2005,"Assisting the Shadow Minister for Industrial Relations"
"Arch Bevis",24/06/2005,10/12/2006,"Shadow Minister for Aviation and Transport Security"
"Arch Bevis",20/03/1996,21/10/1998,"Shadow Minister for Defence"
"Arch Bevis",26/10/2004,24/06/2005,"Shadow Minister for Defence Planning and Personnel"
"Arch Bevis",24/06/2005,06/12/2007,"Shadow Minister for Homeland Security"
"Arch Bevis",20/10/1998,23/11/2001,"Shadow Minister for Industrial Relations"
"Arch Bevis",09/03/2007,06/12/2007,"Shadow Minister for Justice and Customs"
"Arch Bevis",10/12/2006,06/12/2007,"Shadow Minister for Territories"
"Barry Haase",06/12/2007,22/09/2008,"Shadow Parliamentary Secretary for Infrastructure, Roads and Transport"
"Barry Haase",22/09/2008,08/12/2009,"Shadow Parliamentary Secretary for Roads and Transport"
"Bernie Ripoll",10/12/2006,06/12/2007,"Shadow Parliamentary Secretary for Industry and Innovation"
"Bernie Ripoll",24/06/2005,10/12/2006,"Shadow Parliamentary Secretary for Industry, Infrastructure and Industrial Relations"
"Bernie Ripoll",26/10/2004,24/06/2005,"Shadow Parliamentary Secretary for Infrastructure"
"Bob Baldwin",06/12/2007,22/09/2008,"Shadow Minister Assisting the Shadow Minister for Defence"
"Bob Baldwin",10/11/2008,23/01/2009,"Shadow Minister Assisting the Shadow Minister for Defence"
"Bob Baldwin",08/12/2009,14/09/2010,"Shadow Minister Assisting the Shadow Minister for Defence"
"Bob Baldwin",06/12/2007,14/09/2010,"Shadow Minister for Defence Science and Personnel"
"Bob Baldwin",14/09/2010,18/09/2013,"Shadow Minister for Tourism"
