The Hon Tony Abbott MP,03/03/2011,19/09/2012,Leader of the Opposition
The Hon Julie Bishop MP,03/03/2011,19/09/2012,Shadow Minister for Foreign Affairs
The Hon Julie Bishop MP,03/03/2011,19/09/2012,Shadow Minister for Trade
The Hon Julie Bishop MP,03/03/2011,19/09/2012,Deputy Leader of the Opposition
The Hon Warren Truss MP,03/03/2011,19/09/2012,Shadow Minister for Infrastructure and Transport
The Hon Warren Truss MP,03/03/2011,19/09/2012,Leader of The Nationals
Senator the Hon Eric Abetz,03/03/2011,19/09/2012,Shadow Minister for Employment and Workplace Relations
Senator the Hon Eric Abetz,03/03/2011,19/09/2012,Leader of the Opposition in the Senate
The Hon Joe Hockey MP,03/03/2011,19/09/2012,Shadow Treasurer
The Hon Christopher Pyne MP,03/03/2011,19/09/2012,"Shadow Minister for Education, Apprenticeships and Training"
The Hon Christopher Pyne MP,03/03/2011,19/09/2012,Manager of Opposition Business in the House
The Hon Ian Macfarlane MP,03/03/2011,19/09/2012,Shadow Minister for Energy and Resources
Senator the Hon George Brandis SC,03/03/2011,19/09/2012,Shadow Attorney-General
Senator the Hon George Brandis SC,03/03/2011,19/09/2012,Shadow Minister for the Arts
Senator the Hon George Brandis SC,03/03/2011,19/09/2012,Deputy Leader of the Opposition in the Senate
Senator the Hon David Johnston,03/03/2011,19/09/2012,Shadow Minister for Defence
The Hon Peter Dutton MP,03/03/2011,19/09/2012,Shadow Minister for Health and Ageing
The Hon Kevin Andrews MP,03/03/2011,19/09/2012,"Shadow Minister for Families, Housing and Human Services"
The Hon Greg Hunt MP,03/03/2011,19/09/2012,"Shadow Minister for Climate Action, Environment and Heritage"
Senator the Hon Nigel Scullion,03/03/2011,19/09/2012,Shadow Minister for Indigenous Affairs
Senator the Hon Nigel Scullion,03/03/2011,19/09/2012,Deputy Leader of The Nationals
Senator Barnaby Joyce,03/03/2011,19/09/2012,"Shadow Minister for Regional Development, Local Government and Water"
Senator Barnaby Joyce,03/03/2011,19/09/2012,Leader of The Nationals in the Senate
The Hon John Cobb MP,03/03/2011,19/09/2012,Shadow Minister for Agriculture and Food Security
The Hon Bruce Billson MP,03/03/2011,19/09/2012,"Shadow Minister for Small Business, Competition Policy and Consumer Affairs"
The Hon Malcolm Turnbull,03/03/2011,19/09/2012,Shadow Minister for Communications and Broadband
Mr Scott Morrison MP,03/03/2011,19/09/2012,Shadow Minister for Productivity and Population
Mr Scott Morrison MP,03/03/2011,19/09/2012,Shadow Minister for Immigration and Citizenship
Mrs Sophie Mirabella MP,03/03/2011,19/09/2012,"Shadow Minister for Innovation, Industry and Science"
The Hon Andrew Robb AO MP,03/03/2011,19/09/2012,"Shadow Minister for Finance, Deregulation and Debt Reduction"
The Hon Andrew Robb AO MP,03/03/2011,19/09/2012,Chairman of the Coalition Policy Development Committee
The Hon Bronwyn Bishop MP,03/03/2011,19/09/2012,Outer Shadow Ministry
The Hon Bronwyn Bishop MP,03/03/2011,19/09/2012,Shadow Special Minister of State
The Hon Bronwyn Bishop MP,03/03/2011,19/09/2012,Shadow Minister for Seniors
Senator the Hon Michael Ronaldson,03/03/2011,19/09/2012,Shadow Minister for Veterans' Affairs
Senator the Hon Michael Ronaldson,03/03/2011,19/09/2012,Shadow Minister Assisting the Leader of the Opposition on the Centenary of ANZAC
Mr Stuart Robert MP,03/03/2011,19/09/2012,"Shadow Minister for Defence Science, Technology and Personnel"
Senator Mathias Cormann,03/03/2011,19/09/2012,Shadow Assistant Treasurer
Senator Mathias Cormann,03/03/2011,19/09/2012,Shadow Minister for Financial Services and Superannuation
The Hon Sussan Ley MP,03/03/2011,19/09/2012,Shadow Minister for Employment Participation
The Hon Sussan Ley MP,03/03/2011,19/09/2012,Shadow Minister for Childcare and Early Childhood Learning
